country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2022-04-27 23:37:17.223974762,16.554731,80.64911,OZONE,33.0,72.0,38.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2024-09-26 21:25:33.123028384,17.72,83.3,PM2.5,10.0,55.0,32.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2023-03-23 06:57:55.078864352,17.72,83.3,PM10,36.0,114.0,75.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2023-03-09 22:24:36.340694008,26.071318,91.87488,NO2,,,
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2022-06-02 10:45:02.839116718,11.654054,92.734055,CO,18.0,100.0,32.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2023-05-24 22:15:31.230283912,14.675886,77.593027,CO,10.0,16.0,15.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2024-11-05 12:02:16.277602512,13.20488,79.097889,SO2,5.0,6.0,5.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-12-10 06:35:12.302839104,13.20488,79.097889,CO,7.0,34.0,9.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2023-10-14 05:49:46.750788640,16.9872867,81.7363176,SO2,10.0,14.0,12.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2022-03-31 08:24:13.627760252,16.9872867,81.7363176,OZONE,6.0,9.0,7.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",2024-06-03 18:01:08.138801264,13.67,79.35,PM10,22.0,89.0,49.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2023-07-24 17:20:15.141955832,16.486692,80.699436,CO,14.0,31.0,16.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-09-10 01:58:06.435331232,16.509717,80.612222,NO2,41.0,77.0,57.0
